condition,readout_variant,mean_margin,mean_p_a,ecological_choices,human_choices,ties,mean_restricted_p_ecological
aft,ecological_a,1.3794642857142858,0.7640648024419097,53,2,1,0.7640648024419097
aft,ecological_b,2.200892857142857,0.12239163949508511,56,0,0,0.877608360504915
baseline,ecological_a,0.3861607142857143,0.5879119691354407,39,15,2,0.5879119691354407
baseline,ecological_b,2.0044642857142856,0.13013040994615843,56,0,0,0.8698695900538416
msm,ecological_a,0.625,0.6362477465261627,41,12,3,0.6362477465261627
msm,ecological_b,2.546875,0.0834052526169367,56,0,0,0.9165947473830632
msm_aft,ecological_a,1.3950892857142858,0.7722238568588436,53,1,2,0.7722238568588436
msm_aft,ecological_b,2.8236607142857144,0.06797137049310711,56,0,0,0.9320286295068929
