readout_type,template_family,baseline,msm,aft,msm_aft
complete_option_text,dam_removal,-0.0543127968197777,0.13690017518543057,0.07917162350245881,0.16614376930963423
complete_option_text,island_biosecurity,0.344875228648283,0.3624318375879404,0.5505547304542697,0.5756138928082525
complete_option_text,marine_reserve,0.27528891487727086,0.3148081491863916,0.3684900374639602,0.350308963230678
complete_option_text,oil_extraction_ban,0.039884599698644115,0.01678037643432617,0.008281136856598108,0.0022554721962027013
complete_option_text,pesticide_ban,0.3140930370408661,0.3774601099442462,0.45763870939916496,0.5223598635926539
complete_option_text,river_water_allocation,0.107365422434621,0.1164117540631975,0.2944965114841213,0.20501674305308945
complete_option_text,wetland_relocation,0.21259815163082546,0.2366746153150286,0.3730845640576074,0.3431751519914657
complete_option_text,wildfire_restoration,0.005527995881580179,0.07855533418201265,0.18672159739903038,0.1720554260980515
counterbalanced_ab,dam_removal,0.4107142857142857,0.9107142857142857,0.7589285714285714,1.3303571428571428
counterbalanced_ab,island_biosecurity,1.9910714285714286,2.0982142857142856,2.8482142857142856,2.9910714285714284
counterbalanced_ab,marine_reserve,1.7589285714285714,2.5,2.5982142857142856,2.7142857142857144
counterbalanced_ab,oil_extraction_ban,0.5982142857142857,0.7142857142857143,0.75,0.9017857142857143
counterbalanced_ab,pesticide_ban,1.0357142857142858,1.6964285714285714,1.5178571428571428,2.3392857142857144
counterbalanced_ab,river_water_allocation,1.6071428571428572,2.294642857142857,2.7767857142857144,2.9017857142857144
counterbalanced_ab,wetland_relocation,1.3660714285714286,1.4821428571428572,1.9285714285714286,2.1517857142857144
counterbalanced_ab,wildfire_restoration,0.7946428571428571,0.9910714285714286,1.1428571428571428,1.5446428571428572
