condition,A,B,C,D
aft,0.2906313911676857,0.3301681715147891,0.16950676592281524,0.20969367139470982
baseline,0.2753316863255819,0.354330616187898,0.16925922157947912,0.20107847590704078
msm,0.24690802728356157,0.33507476902528777,0.16752363434877107,0.25049356934237943
msm_aft,0.30589701055169244,0.2996291604754921,0.1612493810817634,0.23322444789105198
