condition,ecological_a,ecological_b,balanced_margin,b_second_position_advantage,mean_restricted_p_ecological
aft,1.3794642857142858,2.200892857142857,1.7901785714285716,0.4107142857142857,0.8208365814734123
baseline,0.3861607142857143,2.0044642857142856,1.1953125,0.8091517857142856,0.7288907795946411
msm,0.625,2.546875,1.5859375,0.9609375,0.776421246954613
msm_aft,1.3950892857142858,2.8236607142857144,2.109375,0.7142857142857143,0.8521262431828682
