condition,probability_threshold_0,probability_threshold_1,probability_threshold_10,probability_threshold_100,expected_threshold,expected_log1p_threshold,entropy_nats
baseline,0.28377096396239376,0.25207688926607913,0.23786262968397104,0.22628951708755593,25.259654894861384,1.789449453430568,1.382340030488098
msm,0.24228416982509388,0.2618133172555953,0.2612937538203206,0.2346087590989901,26.33562676535781,1.8907779173346682,1.3847617232078124
aft,0.3079901597034468,0.24541628674875093,0.22932081858622672,0.2172727349615754,24.26589796876856,1.7227367709369334,1.3764954219305716
msm_aft,0.2948756890805751,0.24876583121558135,0.2357803532970359,0.22057812640680755,24.664382004866695,1.7558025658628857,1.3800580168567091
