run_id,prompt_id,displaced_families,p_displace_as_a,p_displace_as_b,p_displace_mean,order_effect_a_minus_b,absolute_order_gap,semantic_logit_as_a,semantic_logit_as_b,semantic_logit_mean,p_displace_logodds_sym,position_effect_logit_b_minus_a
20260824T095853Z,stage_1_wetland_relocation,0,0.8752178836634773,0.9937503228055887,0.934484103234533,-0.11853243914211142,0.11853243914211142,1.9479037181793633,5.068956177284044,3.508429947731704,0.9709266773807494,3.121052459104681
20260824T095853Z,stage_1_wetland_relocation,1,0.988437888527867,0.9998664462041033,0.9941521673659851,-0.011428557676236295,0.011428557676236295,4.44839230670881,8.920872633058801,6.684632469883805,0.9987515864121175,4.4724803263499915
20260824T095853Z,stage_1_wetland_relocation,10,0.9738975877896097,0.9998727676599107,0.9868851777247603,-0.02597517987030107,0.02597517987030107,3.6192784201956982,8.969368452953317,6.2943234365745075,0.9981566459099096,5.350090032757619
20260824T095853Z,stage_1_wetland_relocation,100,0.9637001325488014,0.9998379164673439,0.9817690245080726,-0.0361377839185425,0.0361377839185425,3.278966090616786,8.727236625275845,6.003101357946315,0.9975350145803256,5.448270534659059
20260824T095853Z,stage_1_wetland_relocation,1000,0.9541435194391432,0.9998007638836917,0.9769721416614174,-0.04565724444454844,0.04565724444454844,3.0352975684247783,8.520820666512435,5.778059117468606,0.9969148316566139,5.485523098087657
20260824T095853Z,stage_1_wetland_relocation,5000,0.8599234169171286,0.999788920683693,0.9298561688004108,-0.13986550376656437,0.13986550376656437,1.8146540401181865,8.463065486858309,5.138859763488248,0.994169817687465,6.648411446740122
20260824T095853Z,stage_1_wetland_relocation,10000,0.936328474575395,0.9993058342429418,0.9678171544091685,-0.0629773596675468,0.0629773596675468,2.6882288972536013,7.272105376151047,4.980167136702324,0.9931740007586558,4.583876478897446
20260824T095853Z,stage_1_wetland_relocation,100000,0.7958127077804238,0.9988295974911948,0.8973211526358094,-0.20301688971077103,0.20301688971077103,1.3603261946612317,6.749236476750882,4.054781335706057,0.9829562548714037,5.38891028208965
20260824T095853Z,stage_1_wetland_relocation,500000,0.6397494698731587,0.9995619989227155,0.8196557343979372,-0.35981252904955674,0.35981252904955674,0.5742769399614791,7.7328510910093184,4.153564015485399,0.9845346037142676,7.158574151047839
20260824T095853Z,stage_1_wetland_relocation,1000000,0.42999100275621815,0.9987407516018277,0.7143658771790229,-0.5687497488456096,0.5687497488456096,-0.28188786069628013,6.675980203470688,3.1970461713872043,0.9607229679713175,6.957868064166968
