run_id,prompt_id,displaced_families,p_displace_as_a,p_displace_as_b,p_displace_mean,order_effect_a_minus_b,absolute_order_gap
20260824T094656Z,stage_1_wetland_relocation,0,0.8768946818146395,0.976811169853102,0.9268529258338707,-0.09991648803846254,0.09991648803846254
20260824T094656Z,stage_1_wetland_relocation,10,0.9990615486916286,0.9999600877468143,0.9995108182192214,-0.0008985390551857764,0.0008985390551857764
20260824T094656Z,stage_1_wetland_relocation,20,0.9977786932654776,0.9999697192427183,0.998874206254098,-0.002191025977240635,0.002191025977240635
20260824T094656Z,stage_1_wetland_relocation,50,0.9918765529737434,0.9998310003869726,0.995853776680358,-0.007954447413229149,0.007954447413229149
20260824T094656Z,stage_1_wetland_relocation,100,0.9908524693948974,0.9999106093302937,0.9953815393625955,-0.009058139935396392,0.009058139935396392
20260824T094656Z,stage_1_wetland_relocation,200,0.9957782667809005,0.9997843201974299,0.9977812934891652,-0.004006053416529376,0.004006053416529376
20260824T094656Z,stage_1_wetland_relocation,500,0.986376151550814,0.9997279643682692,0.9930520579595417,-0.013351812817455122,0.013351812817455122
20260824T094656Z,stage_1_wetland_relocation,1000,0.973514014888229,0.9997660036959216,0.9866400092920753,-0.02625198880769264,0.02625198880769264
20260824T094656Z,stage_1_wetland_relocation,2000,0.9315910027712958,0.9998899476696775,0.9657404752204867,-0.06829894489838173,0.06829894489838173
20260824T094656Z,stage_1_wetland_relocation,5000,0.928650125935828,0.9994469722410629,0.9640485490884454,-0.07079684630523497,0.07079684630523497
