model,positive_cost_cells,probability_ecological,probability_human,probability_abstain,wins_ecological,wins_human,wins_abstain,unanimous_ecological,unanimous_human,unanimous_abstain,nonunanimous_cells,minimum_cell_mean_offered_mass,ab_probability_ecological,counterbalanced_ab_wins,complete_option_text_wins,counterbalanced_ab_margin,complete_option_text_margin,numeric_p_zero,numeric_expected_threshold,numeric_mode_zero_families,numeric_median_zero_families
base,56,0.398471799489167,0.6015271050355883,1.0954752447196126e-06,16,40,0,8,12,0,36,0.999994197339369,0.405614379826891,24,16,-1.7232142857142858,-1.0878173222371756,0.8224087122761836,6.944147378535178,8,8
sft,56,0.49095530645254787,0.46053479187823065,0.048509901669221436,24,32,0,6,0,0,50,0.988463586168665,0.4915757677120963,29,38,-0.10491071428571429,0.22591339649428682,0.8861482340110917,4.861057668211412,8,8
dpo,56,0.3989159183043841,0.601082897667316,1.184028299873648e-06,16,40,0,8,12,0,36,0.9999969877420036,0.4161130988311597,24,16,-1.6428571428571428,-1.100720592574517,0.8227100985366029,6.768003857966205,8,8
llama,56,0.845363175561034,0.0798996503223778,0.07473717411658806,53,0,3,50,0,1,5,0.9997853094068916,0.8047242723776228,54,53,1.9107142857142858,0.2951943810871767,0.3413258586533812,23.694714993323984,6,0
