model,readout_type,cell_count,strict_preference_reversals,cells_with_tie_in_either_order,mean_signed_margin_shift,mean_absolute_margin_shift,mean_signed_ecological_probability_shift,mean_absolute_ecological_probability_shift,maximum_absolute_ecological_probability_shift
base,counterbalanced_ab,56,10,2,1.3214285714285714,6.642857142857143,0.11185378106254709,0.20303477856151572,0.9990535925548576
base,complete_option_text,56,9,0,0.06697755625163908,1.0032121546660175,,,
sft,counterbalanced_ab,56,21,3,1.2142857142857142,1.7053571428571428,0.2289134810031736,0.257276233812763,0.6789838557175035
sft,complete_option_text,56,27,0,0.541998816084503,0.5469772222705095,,,
dpo,counterbalanced_ab,56,11,1,1.4196428571428572,6.625,0.13295333189479533,0.20617438076798514,0.9984712820521483
dpo,complete_option_text,56,10,0,0.05147757221315109,0.9896344760721971,,,
llama,counterbalanced_ab,56,9,1,0.59375,0.9464285714285714,0.08407261643892143,0.150912279428097,0.37737431806948285
llama,complete_option_text,56,8,0,0.11498746743916828,0.11795507484651109,,,
