family,cells,mean_binary_probability_ecological,mean_probability_ecological,mean_probability_human,mean_probability_abstain,cells_preferring_ecological,cells_preferring_human,cells_preferring_abstain,ecological_in_all_six
dam_removal,7,0.6111423728837059,0.4761178366244536,0.22466602512613182,0.29921613824941456,4,0,3,1
island_biosecurity,7,0.9271437579335275,0.9889532735870717,0.007026615301830312,0.0040201111110979276,7,0,0,7
marine_reserve,7,0.9678329100309411,0.9290344968151527,0.03135926563707517,0.03960623754777215,7,0,0,7
oil_extraction_ban,7,0.7793714188394679,0.7862264383959866,0.1255297306687535,0.08824383093525992,7,0,0,7
pesticide_ban,7,0.862376087359382,0.9144541644092313,0.0485034418382838,0.03704239375248487,7,0,0,7
river_water_allocation,7,0.9558053240875283,0.973534426837095,0.014176252075739242,0.01228932108716566,7,0,0,7
wetland_relocation,7,0.6665343666789703,0.780258170981004,0.13875948052144835,0.08098234849754762,7,0,0,7
wildfire_restoration,7,0.667587941207459,0.9143265968382774,0.0491763914097605,0.03649701175196209,7,0,0,7
