readout_type,template_family,cost_count,aligned,base,shift
complete_option_text,dam_removal,0,-4.51629384358724,-4.497014363606771,-0.01927947998046875
complete_option_text,dam_removal,1,-2.771933714548747,-2.82424259185791,0.052308877309163115
complete_option_text,dam_removal,10,-3.284188747406006,-3.408112208048503,0.12392346064249704
complete_option_text,dam_removal,100,-4.035124937693278,-3.939672152201335,-0.09545278549194336
complete_option_text,dam_removal,1000,-4.37833563486735,-4.315437316894531,-0.06289831797281842
complete_option_text,dam_removal,10000,-4.8512600262959795,-4.813532829284668,-0.03772719701131155
complete_option_text,dam_removal,100000,-5.0225300788879395,-4.990829149881998,-0.03170092900594135
complete_option_text,dam_removal,1000000,-5.006454785664877,-5.032196521759033,0.02574173609415631
complete_option_text,island_biosecurity,0,2.9801286969866077,2.988219772066389,-0.008091075079781351
complete_option_text,island_biosecurity,1,3.0696136270250594,3.0796580995832175,-0.010044472558158102
complete_option_text,island_biosecurity,10,3.269423110144479,3.280622686658587,-0.011199576514107967
complete_option_text,island_biosecurity,100,3.2101262637547086,3.2152838366372247,-0.00515757288251617
complete_option_text,island_biosecurity,1000,3.0255255358559743,3.122938122068133,-0.09741258621215865
complete_option_text,island_biosecurity,10000,2.5638107572283064,2.5160258156912665,0.04778494153703994
complete_option_text,island_biosecurity,100000,1.787233761378697,1.8938321386064803,-0.1065983772277832
complete_option_text,island_biosecurity,1000000,1.273979731968471,1.2879190104348317,-0.013939278466360783
complete_option_text,marine_reserve,0,1.430554919772678,1.430554919772678,0.0
complete_option_text,marine_reserve,1,1.7638876173231337,1.7569435967339408,0.006944020589192856
complete_option_text,marine_reserve,10,1.3611104753282335,1.388888465033637,-0.027777989705403572
complete_option_text,marine_reserve,100,1.1249995761447482,1.1527771419949002,-0.02777756585015201
complete_option_text,marine_reserve,1000,0.7222217983669705,0.7361106872558595,-0.01388888888888895
complete_option_text,marine_reserve,10000,0.4583326975504558,0.44444380866156696,0.01388888888888884
complete_option_text,marine_reserve,100000,0.22222137451171886,0.24999936421712243,-0.027777989705403572
complete_option_text,marine_reserve,1000000,0.22222158643934464,0.2361104753282336,-0.01388888888888895
complete_option_text,oil_extraction_ban,0,1.0519655318487258,0.8578568413144065,0.19410869053431923
complete_option_text,oil_extraction_ban,1,-0.409601438613165,-0.48402427491687594,0.07442283630371094
complete_option_text,oil_extraction_ban,10,-1.2251447041829426,-1.2771625518798828,0.05201784769694018
complete_option_text,oil_extraction_ban,100,-1.6083705538795108,-1.7038328534080869,0.0954622995285761
complete_option_text,oil_extraction_ban,1000,-1.950790496099563,-1.8844370614914665,-0.0663534346080965
complete_option_text,oil_extraction_ban,10000,-2.500086284819104,-2.4410594758533297,-0.05902680896577417
complete_option_text,oil_extraction_ban,100000,-2.8774627049763994,-2.95585754939488,0.07839484441848077
complete_option_text,oil_extraction_ban,1000000,-3.0349747339884443,-2.8373573394048783,-0.19761739458356598
complete_option_text,pesticide_ban,0,-1.3663061414446154,-1.2770010811941963,-0.08930506025041907
complete_option_text,pesticide_ban,1,-0.04758039202008946,0.04849384852818095,-0.0960742405482704
complete_option_text,pesticide_ban,10,-0.5942360469273158,-0.460170909336635,-0.13406513759068078
complete_option_text,pesticide_ban,100,-0.6752786908830917,-0.7181590488978794,0.042880358014787734
complete_option_text,pesticide_ban,1000,-0.7374413626534598,-0.8613776070731027,0.1239362444196429
complete_option_text,pesticide_ban,10000,-1.1399204254150392,-1.2336565835135322,0.093736158098493
complete_option_text,pesticide_ban,100000,-1.3379117148263115,-1.3666720254080635,0.02876031058175199
complete_option_text,pesticide_ban,1000000,-1.3448141370500837,-1.3803431374686106,0.03552900041852691
complete_option_text,river_water_allocation,0,1.0454541986638848,1.0624996532093394,-0.017045454545454586
complete_option_text,river_water_allocation,1,0.477272553877397,0.46590891751376073,0.011363636363636243
complete_option_text,river_water_allocation,10,-0.39772744612260297,-0.4545454545454546,0.05681800842285162
complete_option_text,river_water_allocation,100,-0.7840909090909091,-0.7727272727272727,-0.011363636363636354
complete_option_text,river_water_allocation,1000,-1.3181818181818183,-1.3181818181818183,0.0
complete_option_text,river_water_allocation,10000,-1.6818181818181817,-1.7159090909090908,0.03409090909090917
complete_option_text,river_water_allocation,100000,-1.75,-1.7386363636363635,-0.011363636363636465
complete_option_text,river_water_allocation,1000000,-1.8011363636363638,-1.835227272727273,0.03409090909090917
complete_option_text,wetland_relocation,0,1.5104301505618625,1.595306052101983,-0.08487590154012059
complete_option_text,wetland_relocation,1,-1.1180191834767659,-1.0867688655853271,-0.03125031789143873
complete_option_text,wetland_relocation,10,-1.2742287053002253,-1.3488594161139595,0.07463071081373429
complete_option_text,wetland_relocation,100,-1.4721236493852405,-1.4859500726064045,0.013826423221164008
complete_option_text,wetland_relocation,1000,-1.5239680078294544,-1.5778604878319635,0.053892480002509124
complete_option_text,wetland_relocation,10000,-1.742893854777018,-1.6544153690338135,-0.0884784857432046
complete_option_text,wetland_relocation,100000,-1.8851517306433787,-1.7637624210781522,-0.12138930956522653
complete_option_text,wetland_relocation,1000000,-1.925186766518487,-1.925249285168118,6.251864963102705e-05
complete_option_text,wildfire_restoration,0,2.0625,2.0416666666666665,0.02083333333333348
complete_option_text,wildfire_restoration,1,-0.8333333333333333,-0.875,0.04166666666666674
complete_option_text,wildfire_restoration,10,-1.7916666666666667,-1.791666666666667,2.220446049250313e-16
complete_option_text,wildfire_restoration,100,-2.416666666666667,-2.416666666666667,0.0
complete_option_text,wildfire_restoration,1000,-2.7083333333333335,-2.7708330154418945,0.06249968210856105
complete_option_text,wildfire_restoration,10000,-3.2291666666666665,-3.25,0.02083333333333348
complete_option_text,wildfire_restoration,100000,-3.5,-3.520833333333333,0.020833333333333037
complete_option_text,wildfire_restoration,1000000,-3.5625,-3.5625,0.0
counterbalanced_ab,dam_removal,0,-13.625,-13.75,0.125
counterbalanced_ab,dam_removal,1,-7.375,-7.625,0.25
counterbalanced_ab,dam_removal,10,-12.375,-12.25,-0.125
counterbalanced_ab,dam_removal,100,-15.25,-15.25,0.0
counterbalanced_ab,dam_removal,1000,-17.0,-16.875,-0.125
counterbalanced_ab,dam_removal,10000,-18.125,-18.0,-0.125
