readout_type,template_family,base,aligned,shift
complete_option_text,dam_removal,-4.189146109989712,-4.192832560766311,-0.0036864507765997446
complete_option_text,island_biosecurity,2.628039958525677,2.5999589696222425,-0.02808098890343499
complete_option_text,marine_reserve,0.8521819341750373,0.8392850179520864,-0.012896916222950765
complete_option_text,oil_extraction_ban,-1.9405330151927715,-1.9437758452227327,-0.003242830029961238
complete_option_text,pesticide_ban,-0.8531264947385203,-0.8395975385393416,0.013528956199178765
complete_option_text,river_water_allocation,-1.0527597650305016,-1.036526023567497,0.01623374146300477
complete_option_text,wetland_relocation,-1.548980845345391,-1.5630816997043673,-0.014100854358975916
complete_option_text,wildfire_restoration,-2.5982142403012234,-2.5773809523809526,0.020833287920270647
counterbalanced_ab,dam_removal,-15.214285714285714,-15.232142857142858,-0.017857142857142856
counterbalanced_ab,island_biosecurity,17.089285714285715,16.857142857142858,-0.23214285714285715
counterbalanced_ab,marine_reserve,7.821428571428571,8.071428571428571,0.25
counterbalanced_ab,oil_extraction_ban,-2.1607142857142856,-2.25,-0.08928571428571429
counterbalanced_ab,pesticide_ban,-0.14285714285714285,0.03571428571428571,0.17857142857142858
counterbalanced_ab,river_water_allocation,1.0535714285714286,0.9464285714285714,-0.10714285714285714
counterbalanced_ab,wetland_relocation,-8.892857142857142,-8.696428571428571,0.19642857142857142
counterbalanced_ab,wildfire_restoration,-13.339285714285714,-13.321428571428571,0.017857142857142856
