readout_type,readout_variant,aligned,base,shift
complete_option_text,ecological_first,-1.106330942424443,-1.1213061003629952,0.014975157938552197
complete_option_text,human_first,-1.0696228945483819,-1.0543285441113561,-0.015294350437025761
counterbalanced_ab,ecological_a,-2.3482142857142856,-2.3839285714285716,0.03571428571428603
counterbalanced_ab,ecological_b,-1.0714285714285714,-1.0625,-0.008928571428571397
