readout_type,template_family,cost_count,aligned_corrected,base_corrected,shift_corrected,aligned_first,base_first,shift_first,corrected_minus_first
complete_option_text,dam_removal,0,-4.35938294728597,-4.497014363606771,0.13763141632080167,-4.51629384358724,-4.497014363606771,-0.01927947998046875,0.15691089630127042
complete_option_text,dam_removal,1,-2.75067679087321,-2.82424259185791,0.07356580098470022,-2.771933714548747,-2.82424259185791,0.052308877309163115,0.02125692367553711
complete_option_text,dam_removal,10,-3.357337474822998,-3.408112208048503,0.05077473322550485,-3.284188747406006,-3.408112208048503,0.12392346064249704,-0.07314872741699219
complete_option_text,dam_removal,100,-3.909585475921631,-3.939672152201335,0.030086676279704072,-4.035124937693278,-3.939672152201335,-0.09545278549194336,0.12553946177164743
complete_option_text,dam_removal,1000,-4.230682531992594,-4.315437316894531,0.08475478490193744,-4.37833563486735,-4.315437316894531,-0.06289831797281842,0.14765310287475586
complete_option_text,dam_removal,10000,-4.756905396779378,-4.813532829284668,0.05662743250529001,-4.8512600262959795,-4.813532829284668,-0.03772719701131155,0.09435462951660156
complete_option_text,dam_removal,100000,-4.814672946929932,-4.990829149881998,0.17615620295206647,-5.0225300788879395,-4.990829149881998,-0.03170092900594135,0.2078571319580078
complete_option_text,dam_removal,1000000,-4.923281987508138,-5.032196521759033,0.10891453425089548,-5.006454785664877,-5.032196521759033,0.02574173609415631,0.08317279815673917
complete_option_text,island_biosecurity,0,2.997079985482352,2.988219772066389,0.008860213415962992,2.9801286969866077,2.988219772066389,-0.008091075079781351,0.016951288495744343
complete_option_text,island_biosecurity,1,3.0004870891571045,3.0796580995832175,-0.07917101042611296,3.0696136270250594,3.0796580995832175,-0.010044472558158102,-0.06912653786795486
complete_option_text,island_biosecurity,10,3.2315288611820767,3.280622686658587,-0.04909382547651031,3.269423110144479,3.280622686658587,-0.011199576514107967,-0.037894248962402344
complete_option_text,island_biosecurity,100,3.278404099600656,3.2152838366372247,0.0631202629634311,3.2101262637547086,3.2152838366372247,-0.00515757288251617,0.06827783584594727
complete_option_text,island_biosecurity,1000,2.9659050192151755,3.122938122068133,-0.15703310285295746,3.0255255358559743,3.122938122068133,-0.09741258621215865,-0.059620516640798815
complete_option_text,island_biosecurity,10000,2.4220290865216936,2.5160258156912665,-0.09399672916957291,2.5638107572283064,2.5160258156912665,0.04778494153703994,-0.14178167070661285
complete_option_text,island_biosecurity,100000,1.787233625139509,1.8938321386064803,-0.10659851346697136,1.787233761378697,1.8938321386064803,-0.1065983772277832,-1.362391881531977e-07
complete_option_text,island_biosecurity,1000000,1.258354902267456,1.2879190104348317,-0.029564108167375647,1.273979731968471,1.2879190104348317,-0.013939278466360783,-0.015624829701014864
complete_option_text,marine_reserve,0,1.4444438086615667,1.430554919772678,0.01388888888888884,1.430554919772678,1.430554919772678,0.0,0.01388888888888884
complete_option_text,marine_reserve,1,1.7499991522894964,1.7569435967339408,-0.00694444444444442,1.7638876173231337,1.7569435967339408,0.006944020589192856,-0.013888465033637276
complete_option_text,marine_reserve,10,1.4027771419949,1.388888465033637,0.013888676961262947,1.3611104753282335,1.388888465033637,-0.027777989705403572,0.04166666666666652
complete_option_text,marine_reserve,100,1.2222217983669705,1.1527771419949002,0.06944465637207031,1.1249995761447482,1.1527771419949002,-0.02777756585015201,0.09722222222222232
complete_option_text,marine_reserve,1000,0.7361106872558593,0.7361106872558595,-2.220446049250313e-16,0.7222217983669705,0.7361106872558595,-0.01388888888888895,0.013888888888888729
complete_option_text,marine_reserve,10000,0.3888884650336374,0.44444380866156696,-0.055555343627929576,0.4583326975504558,0.44444380866156696,0.01388888888888884,-0.06944423251681842
complete_option_text,marine_reserve,100000,0.305554707845052,0.24999936421712243,0.055555343627929576,0.22222137451171886,0.24999936421712243,-0.027777989705403572,0.08333333333333315
complete_option_text,marine_reserve,1000000,0.2638880411783854,0.2361104753282336,0.027777565850151786,0.22222158643934464,0.2361104753282336,-0.01388888888888895,0.04166645473904074
complete_option_text,oil_extraction_ban,0,0.9356306621006557,0.8578568413144065,0.07777382078624917,1.0519655318487258,0.8578568413144065,0.19410869053431923,-0.11633486974807006
complete_option_text,oil_extraction_ban,1,-0.4737262725830078,-0.48402427491687594,0.010298002333868128,-0.409601438613165,-0.48402427491687594,0.07442283630371094,-0.06412483396984281
complete_option_text,oil_extraction_ban,10,-1.3192981992449078,-1.2771625518798828,-0.04213564736502495,-1.2251447041829426,-1.2771625518798828,0.05201784769694018,-0.09415349506196513
complete_option_text,oil_extraction_ban,100,-1.593034244719006,-1.7038328534080869,0.11079860868908087,-1.6083705538795108,-1.7038328534080869,0.0954622995285761,0.015336309160504769
complete_option_text,oil_extraction_ban,1000,-1.8972261519659133,-1.8844370614914665,-0.012789090474446763,-1.950790496099563,-1.8844370614914665,-0.0663534346080965,0.053564344133649744
complete_option_text,oil_extraction_ban,10000,-2.411230586823963,-2.4410594758533297,0.029828889029366756,-2.500086284819104,-2.4410594758533297,-0.05902680896577417,0.08885569799514093
complete_option_text,oil_extraction_ban,100000,-2.746526309422084,-2.95585754939488,0.209331239972796,-2.8774627049763994,-2.95585754939488,0.07839484441848077,0.13093639555431524
complete_option_text,oil_extraction_ban,1000000,-2.995551608857655,-2.8373573394048783,-0.15819426945277648,-3.0349747339884443,-2.8373573394048783,-0.19761739458356598,0.039423125130789494
complete_option_text,pesticide_ban,0,-1.3871476309640067,-1.2770010811941963,-0.11014654976981042,-1.3663061414446154,-1.2770010811941963,-0.08930506025041907,-0.020841489519391354
complete_option_text,pesticide_ban,1,-0.11405236380440853,0.04849384852818095,-0.16254621233258948,-0.04758039202008946,0.04849384852818095,-0.0960742405482704,-0.06647197178431907
complete_option_text,pesticide_ban,10,-0.41157341003417974,-0.460170909336635,0.04859749930245527,-0.5942360469273158,-0.460170909336635,-0.13406513759068078,0.18266263689313605
complete_option_text,pesticide_ban,100,-0.7223279680524554,-0.7181590488978794,-0.004168919154575956,-0.6752786908830917,-0.7181590488978794,0.042880358014787734,-0.04704927716936369
complete_option_text,pesticide_ban,1000,-0.8873126438685826,-0.8613776070731027,-0.025935036795479816,-0.7374413626534598,-0.8613776070731027,0.1239362444196429,-0.14987128121512272
complete_option_text,pesticide_ban,10000,-1.1980541229248045,-1.2336565835135322,0.035602460588727736,-1.1399204254150392,-1.2336565835135322,0.093736158098493,-0.05813369750976527
