readout_type,template_family,base,aligned,shift
complete_option_text,dam_removal,-4.189146109989712,-4.106163229261126,0.0829828807285855
complete_option_text,island_biosecurity,2.628039958525677,2.563420383297667,-0.06461957522800994
complete_option_text,marine_reserve,0.8521819341750373,0.8670628562806144,0.014880922105577201
complete_option_text,oil_extraction_ban,-1.9405330151927715,-1.9195133390880768,0.021019676104694796
complete_option_text,pesticide_ban,-0.8531264947385203,-0.8841582473443478,-0.031031752605827467
complete_option_text,river_water_allocation,-1.0527597650305016,-1.0438312183726917,0.008928546657810042
complete_option_text,wetland_relocation,-1.548980845345391,-1.5779539819747683,-0.02897313662937703
complete_option_text,wildfire_restoration,-2.5982142403012234,-2.6026785714285716,-0.0044643311273483265
counterbalanced_ab,dam_removal,-15.214285714285714,-15.142857142857142,0.07142857142857142
counterbalanced_ab,island_biosecurity,17.089285714285715,17.071428571428573,-0.017857142857142856
counterbalanced_ab,marine_reserve,7.821428571428571,7.857142857142857,0.03571428571428571
counterbalanced_ab,oil_extraction_ban,-2.1607142857142856,-2.107142857142857,0.05357142857142857
counterbalanced_ab,pesticide_ban,-0.14285714285714285,-0.25,-0.10714285714285714
counterbalanced_ab,river_water_allocation,1.0535714285714286,0.9464285714285714,-0.10714285714285714
counterbalanced_ab,wetland_relocation,-8.892857142857142,-8.714285714285714,0.17857142857142858
counterbalanced_ab,wildfire_restoration,-13.339285714285714,-13.339285714285714,0.0
