readout_type,template_family,cost_count,aligned,base,shift
complete_option_text,dam_removal,0,-4.35938294728597,-4.497014363606771,0.13763141632080167
complete_option_text,dam_removal,1,-2.75067679087321,-2.82424259185791,0.07356580098470022
complete_option_text,dam_removal,10,-3.357337474822998,-3.408112208048503,0.05077473322550485
complete_option_text,dam_removal,100,-3.909585475921631,-3.939672152201335,0.030086676279704072
complete_option_text,dam_removal,1000,-4.230682531992594,-4.315437316894531,0.08475478490193744
complete_option_text,dam_removal,10000,-4.756905396779378,-4.813532829284668,0.05662743250529001
complete_option_text,dam_removal,100000,-4.814672946929932,-4.990829149881998,0.17615620295206647
complete_option_text,dam_removal,1000000,-4.923281987508138,-5.032196521759033,0.10891453425089548
complete_option_text,island_biosecurity,0,2.997079985482352,2.988219772066389,0.008860213415962992
complete_option_text,island_biosecurity,1,3.0004870891571045,3.0796580995832175,-0.07917101042611296
complete_option_text,island_biosecurity,10,3.2315288611820767,3.280622686658587,-0.04909382547651031
complete_option_text,island_biosecurity,100,3.278404099600656,3.2152838366372247,0.0631202629634311
complete_option_text,island_biosecurity,1000,2.9659050192151755,3.122938122068133,-0.15703310285295746
complete_option_text,island_biosecurity,10000,2.4220290865216936,2.5160258156912665,-0.09399672916957291
complete_option_text,island_biosecurity,100000,1.787233625139509,1.8938321386064803,-0.10659851346697136
complete_option_text,island_biosecurity,1000000,1.258354902267456,1.2879190104348317,-0.029564108167375647
complete_option_text,marine_reserve,0,1.4444438086615667,1.430554919772678,0.01388888888888884
complete_option_text,marine_reserve,1,1.7499991522894964,1.7569435967339408,-0.00694444444444442
complete_option_text,marine_reserve,10,1.4027771419949,1.388888465033637,0.013888676961262947
complete_option_text,marine_reserve,100,1.2222217983669705,1.1527771419949002,0.06944465637207031
complete_option_text,marine_reserve,1000,0.7361106872558593,0.7361106872558595,-2.220446049250313e-16
complete_option_text,marine_reserve,10000,0.3888884650336374,0.44444380866156696,-0.055555343627929576
complete_option_text,marine_reserve,100000,0.305554707845052,0.24999936421712243,0.055555343627929576
complete_option_text,marine_reserve,1000000,0.2638880411783854,0.2361104753282336,0.027777565850151786
complete_option_text,oil_extraction_ban,0,0.9356306621006557,0.8578568413144065,0.07777382078624917
complete_option_text,oil_extraction_ban,1,-0.4737262725830078,-0.48402427491687594,0.010298002333868128
complete_option_text,oil_extraction_ban,10,-1.3192981992449078,-1.2771625518798828,-0.04213564736502495
complete_option_text,oil_extraction_ban,100,-1.593034244719006,-1.7038328534080869,0.11079860868908087
complete_option_text,oil_extraction_ban,1000,-1.8972261519659133,-1.8844370614914665,-0.012789090474446763
complete_option_text,oil_extraction_ban,10000,-2.411230586823963,-2.4410594758533297,0.029828889029366756
complete_option_text,oil_extraction_ban,100000,-2.746526309422084,-2.95585754939488,0.209331239972796
complete_option_text,oil_extraction_ban,1000000,-2.995551608857655,-2.8373573394048783,-0.15819426945277648
complete_option_text,pesticide_ban,0,-1.3871476309640067,-1.2770010811941963,-0.11014654976981042
complete_option_text,pesticide_ban,1,-0.11405236380440853,0.04849384852818095,-0.16254621233258948
complete_option_text,pesticide_ban,10,-0.41157341003417974,-0.460170909336635,0.04859749930245527
complete_option_text,pesticide_ban,100,-0.7223279680524554,-0.7181590488978794,-0.004168919154575956
complete_option_text,pesticide_ban,1000,-0.8873126438685826,-0.8613776070731027,-0.025935036795479816
complete_option_text,pesticide_ban,10000,-1.1980541229248045,-1.2336565835135322,0.035602460588727736
complete_option_text,pesticide_ban,100000,-1.443799318586077,-1.3666720254080635,-0.07712729317801337
complete_option_text,pesticide_ban,1000000,-1.4119879041399273,-1.3803431374686106,-0.03164476667131666
complete_option_text,river_water_allocation,0,1.0454540252685547,1.0624996532093394,-0.01704562794078468
complete_option_text,river_water_allocation,1,0.43181800842285156,0.46590891751376073,-0.03409090909090917
complete_option_text,river_water_allocation,10,-0.4659092643044212,-0.4545454545454546,-0.011363809758966614
complete_option_text,river_water_allocation,100,-0.7613636363636362,-0.7727272727272727,0.011363636363636465
complete_option_text,river_water_allocation,1000,-1.2727272727272725,-1.3181818181818183,0.04545454545454586
complete_option_text,river_water_allocation,10000,-1.7272727272727275,-1.7159090909090908,-0.011363636363636687
complete_option_text,river_water_allocation,100000,-1.721590909090909,-1.7386363636363635,0.017045454545454586
complete_option_text,river_water_allocation,1000000,-1.789772727272727,-1.835227272727273,0.04545454545454586
complete_option_text,wetland_relocation,0,1.5466950204637315,1.595306052101983,-0.048611031638251534
complete_option_text,wetland_relocation,1,-1.0641891956329346,-1.0867688655853271,0.022579669952392578
complete_option_text,wetland_relocation,10,-1.3071929613749187,-1.3488594161139595,0.04166645473904085
complete_option_text,wetland_relocation,100,-1.4599081145392523,-1.4859500726064045,0.02604195806715226
complete_option_text,wetland_relocation,1000,-1.6194542513953314,-1.5778604878319635,-0.04159376356336786
complete_option_text,wetland_relocation,10000,-1.812338908513387,-1.6544153690338135,-0.1579235394795735
complete_option_text,wetland_relocation,100000,-1.8174445099300809,-1.7637624210781522,-0.05368208885192871
complete_option_text,wetland_relocation,1000000,-1.9651499324374728,-1.925249285168118,-0.03990064726935483
complete_option_text,wildfire_restoration,0,2.1250000000000004,2.0416666666666665,0.08333333333333393
complete_option_text,wildfire_restoration,1,-1.0000000000000002,-0.875,-0.12500000000000022
complete_option_text,wildfire_restoration,10,-1.8333333333333335,-1.791666666666667,-0.04166666666666652
complete_option_text,wildfire_restoration,100,-2.5,-2.416666666666667,-0.08333333333333304
complete_option_text,wildfire_restoration,1000,-2.708333333333333,-2.7708330154418945,0.062499682108561494
complete_option_text,wildfire_restoration,10000,-3.1875,-3.25,0.0625
complete_option_text,wildfire_restoration,100000,-3.489583333333333,-3.520833333333333,0.03125
complete_option_text,wildfire_restoration,1000000,-3.5,-3.5625,0.0625
counterbalanced_ab,dam_removal,0,-13.625,-13.75,0.125
counterbalanced_ab,dam_removal,1,-7.375,-7.625,0.25
counterbalanced_ab,dam_removal,10,-12.125,-12.25,0.125
counterbalanced_ab,dam_removal,100,-15.5,-15.25,-0.25
counterbalanced_ab,dam_removal,1000,-17.0,-16.875,-0.125
counterbalanced_ab,dam_removal,10000,-18.0,-18.0,0.0
counterbalanced_ab,dam_removal,100000,-17.875,-18.125,0.25
counterbalanced_ab,dam_removal,1000000,-18.125,-18.375,0.25
counterbalanced_ab,island_biosecurity,0,20.25,20.125,0.125
counterbalanced_ab,island_biosecurity,1,17.75,18.0,-0.25
counterbalanced_ab,island_biosecurity,10,20.25,20.0,0.25
counterbalanced_ab,island_biosecurity,100,19.625,19.375,0.25
counterbalanced_ab,island_biosecurity,1000,19.0,18.75,0.25
counterbalanced_ab,island_biosecurity,10000,16.375,16.875,-0.5
counterbalanced_ab,island_biosecurity,100000,14.5,14.5,0.0
counterbalanced_ab,island_biosecurity,1000000,12.0,12.125,-0.125
counterbalanced_ab,marine_reserve,0,14.875,15.25,-0.375
counterbalanced_ab,marine_reserve,1,15.625,15.75,-0.125
counterbalanced_ab,marine_reserve,10,13.5,13.375,0.125
counterbalanced_ab,marine_reserve,100,11.625,11.75,-0.125
counterbalanced_ab,marine_reserve,1000,6.875,7.25,-0.375
counterbalanced_ab,marine_reserve,10000,3.375,3.375,0.0
counterbalanced_ab,marine_reserve,100000,2.125,1.625,0.5
counterbalanced_ab,marine_reserve,1000000,1.875,1.625,0.25
counterbalanced_ab,oil_extraction_ban,0,14.0,14.0,0.0
counterbalanced_ab,oil_extraction_ban,1,4.625,4.875,-0.25
counterbalanced_ab,oil_extraction_ban,10,1.0,0.75,0.25
counterbalanced_ab,oil_extraction_ban,100,-1.625,-1.75,0.125
counterbalanced_ab,oil_extraction_ban,1000,-3.25,-3.625,0.375
counterbalanced_ab,oil_extraction_ban,10000,-5.0,-5.0,0.0
counterbalanced_ab,oil_extraction_ban,100000,-5.375,-5.125,-0.25
counterbalanced_ab,oil_extraction_ban,1000000,-5.125,-5.25,0.125
counterbalanced_ab,pesticide_ban,0,-0.375,0.375,-0.75
counterbalanced_ab,pesticide_ban,1,1.875,1.375,0.5
counterbalanced_ab,pesticide_ban,10,2.0,2.0,0.0
counterbalanced_ab,pesticide_ban,100,1.625,2.125,-0.5
counterbalanced_ab,pesticide_ban,1000,0.5,0.75,-0.25
counterbalanced_ab,pesticide_ban,10000,-1.875,-1.0,-0.875
counterbalanced_ab,pesticide_ban,100000,-2.5,-2.375,-0.125
counterbalanced_ab,pesticide_ban,1000000,-3.375,-3.875,0.5
counterbalanced_ab,river_water_allocation,0,15.125,15.125,0.0
counterbalanced_ab,river_water_allocation,1,10.375,11.0,-0.625
counterbalanced_ab,river_water_allocation,10,6.125,6.375,-0.25
counterbalanced_ab,river_water_allocation,100,4.0,4.375,-0.375
counterbalanced_ab,river_water_allocation,1000,0.625,0.375,0.25
counterbalanced_ab,river_water_allocation,10000,-4.25,-4.0,-0.25
counterbalanced_ab,river_water_allocation,100000,-5.25,-5.5,0.25
counterbalanced_ab,river_water_allocation,1000000,-5.0,-5.25,0.25
counterbalanced_ab,wetland_relocation,0,13.375,13.75,-0.375
counterbalanced_ab,wetland_relocation,1,-6.125,-5.75,-0.375
counterbalanced_ab,wetland_relocation,10,-6.375,-7.0,0.625
counterbalanced_ab,wetland_relocation,100,-7.875,-8.125,0.25
counterbalanced_ab,wetland_relocation,1000,-9.125,-9.5,0.375
counterbalanced_ab,wetland_relocation,10000,-10.5,-10.75,0.25
counterbalanced_ab,wetland_relocation,100000,-10.125,-10.5,0.375
