model,probability_threshold_0,probability_threshold_1,probability_threshold_10,probability_threshold_100,expected_threshold,entropy_nats
llama_instruct,0.3413258586533812,0.25059830464881405,0.19292741090116994,0.21514842579663468,23.69471499332398,1.3433805921661288
authors_baseline,0.28377096396239376,0.25207688926607913,0.23786262968397104,0.22628951708755593,25.259654894861384,1.382340030488098
qwen3_8b,0.8224087122761836,0.053272880061480725,0.06156629186399846,0.06275211579833712,6.9441473785351775,0.5989731647762625
msm,0.24228416982509388,0.2618133172555953,0.2612937538203206,0.2346087590989901,26.33562676535781,1.3847617232078124
aft,0.3079901597034468,0.24541628674875093,0.22932081858622672,0.2172727349615754,24.26589796876856,1.3764954219305716
msm_aft,0.2948756890805751,0.24876583121558135,0.2357803532970359,0.22057812640680755,24.664382004866695,1.3800580168567091
