model,suite,candidate_text,candidate_probability
base,ab,A,0.33611469257023757
base,ab,B,0.44705334920759865
base,abc,A,0.6431979664541426
base,abc,B,0.08277224365035403
base,abc,C,0.6034495861346754
dpo,ab,A,0.3366682639126874
dpo,ab,B,0.4750153816720559
dpo,abc,A,0.6392517043895521
dpo,abc,B,0.08168926369390889
dpo,abc,C,0.5947075473034029
sft,ab,A,0.396957051916935
sft,ab,B,0.6662324011166969
sft,abc,A,0.5431071426546887
sft,abc,B,0.12216619260961009
sft,abc,C,0.8405910116234645
