model,suite,point_count,mean_ecological_probability,mean_abstention_probability,unanimous_points,mean_ecological_range,minimum_point_mean_offered_mass,top_ecological,top_human,top_abstain,top_tie
base,ab,47,0.39158402088891797,,24,0.44902288575273425,0.9999982539676916,17,29,0,1
base,abc,47,0.44313993207972396,2.1995497687508217e-08,1,0.9174338204256125,0.9999976064889818,17,30,0,0
dpo,ab,47,0.4058418227923717,,25,0.4491736798392289,0.999998361039162,17,30,0,0
dpo,abc,47,0.43854950512895474,2.643584237075336e-08,2,0.9099851831020926,0.9999985546960084,17,30,0,0
sft,ab,47,0.5315947265168159,,19,0.309398134126253,0.9834209548092394,25,18,0,4
sft,abc,47,0.5019547822959212,0.03949663687411186,0,0.880023371989731,0.9885499301298648,28,19,0,0
