level,model,suite,template_family,permutation_index,adjacent_steps,increases_above_1e_minus_6,increases_above_one_pp,largest_increase
arrangement,dpo,abc,wildfire_restoration,1.0,11,2,0,0.0005458884738721581
arrangement,dpo,abc,wildfire_restoration,2.0,11,2,2,0.019491284948354393
arrangement,dpo,abc,wildfire_restoration,3.0,11,2,0,7.820576457429063e-06
arrangement,dpo,abc,wildfire_restoration,4.0,11,3,3,0.11700220084151042
arrangement,dpo,abc,wildfire_restoration,5.0,11,2,0,0.0006167326650647897
arrangement,sft,ab,oil_extraction_ban,0.0,11,2,2,0.062176500885798125
arrangement,sft,ab,oil_extraction_ban,1.0,11,3,3,0.043271790871992954
arrangement,sft,ab,pesticide_ban,0.0,11,2,2,0.02979273124778481
arrangement,sft,ab,pesticide_ban,1.0,11,6,6,0.09240174990261008
arrangement,sft,ab,river_water_allocation,0.0,10,1,1,0.03729675936381571
arrangement,sft,ab,river_water_allocation,1.0,10,2,2,0.027823834509338785
arrangement,sft,ab,wildfire_restoration,0.0,11,3,3,0.08651209922132319
arrangement,sft,ab,wildfire_restoration,1.0,11,2,2,0.03120937337375629
arrangement,sft,abc,oil_extraction_ban,0.0,11,1,1,0.02829936347544748
arrangement,sft,abc,oil_extraction_ban,1.0,11,2,2,0.07108400555321132
arrangement,sft,abc,oil_extraction_ban,2.0,11,1,1,0.023493657917079414
arrangement,sft,abc,oil_extraction_ban,3.0,11,4,1,0.012381369796853448
arrangement,sft,abc,oil_extraction_ban,4.0,11,3,0,0.003717409658969599
arrangement,sft,abc,oil_extraction_ban,5.0,11,3,0,0.006549693196509998
arrangement,sft,abc,pesticide_ban,0.0,11,4,4,0.037844239257058265
arrangement,sft,abc,pesticide_ban,1.0,11,4,3,0.0927405330743602
arrangement,sft,abc,pesticide_ban,2.0,11,3,1,0.049139574965276586
arrangement,sft,abc,pesticide_ban,3.0,11,3,3,0.05859374401457651
arrangement,sft,abc,pesticide_ban,4.0,11,4,1,0.013668553650601399
arrangement,sft,abc,pesticide_ban,5.0,11,4,3,0.02300038783304803
arrangement,sft,abc,river_water_allocation,0.0,10,1,0,0.004004192005626739
arrangement,sft,abc,river_water_allocation,1.0,10,1,1,0.029127415184150407
arrangement,sft,abc,river_water_allocation,2.0,10,1,1,0.02673050667447302
arrangement,sft,abc,river_water_allocation,3.0,10,2,1,0.0245407231156618
arrangement,sft,abc,river_water_allocation,4.0,10,2,2,0.012089895201080503
arrangement,sft,abc,river_water_allocation,5.0,10,4,0,0.009917164498681297
arrangement,sft,abc,wildfire_restoration,0.0,11,2,0,0.009535374936477603
arrangement,sft,abc,wildfire_restoration,1.0,11,2,2,0.030413075292886782
arrangement,sft,abc,wildfire_restoration,2.0,11,2,1,0.026863584464931867
arrangement,sft,abc,wildfire_restoration,3.0,11,3,1,0.027720142187062202
arrangement,sft,abc,wildfire_restoration,4.0,11,2,1,0.0312459957953935
arrangement,sft,abc,wildfire_restoration,5.0,11,4,3,0.021347176360952957
